"Nombre común","Edad","Procedencia","Fecha de ingreso","Motivo de ingreso","Destino"
"Bandurria","Neonato","Ancud","11/16/2020","Otro","Muerte"
"Loro Choroy","Adulto","Ancud","11/16/2020","Trauma ","Muerte"
"Pudú","Adulto","Ancud ","11/16/2020","Ataque de perros","Muerte"
"Bandurria","Juvenil","Ancud","11/20/2020","Trauma ","Muerte"
"Bandurria","Neonato","Ancud","11/20/2020","Otro","Muerte"
"Tiuque","Juvenil","Castro","11/22/2020","Trauma ","Muerte"
"Pudú","Adulto","Quemchi","11/23/2020","Ataque de perros","Liberación "
"Pudú","Adulto","Ancud","11/26/2020","Ataque de perros","Muerte"
"Pitio","Juvenil","Ancud","11/26/2020","Otro","Muerte"
"cometocino","Neonato","Castro","11/30/2020","Orfandad","Liberación "
"Pudú","Juvenil","Quellón","12/2/2020","Atropello","Liberación "
"Tiuque","","Quellón","12/2/2020","Trauma ","No data"
"Coipo","Adulto","Ancud","12/2/2020","Ataque de perros","Muerte"
"pudú","Adulto","Castro","12/8/2020","Ataque de perros","Muerte"
"Bandurria","Neonato","Castro","12/9/2020","Orfandad","Muerte"
"lobo marino común","Neonato","Ancud","12/15/2020","Otro","Muerte"
"lobo marino común","Neonato","Ancud","12/17/2020","Otro",""
"Tiuque","Adulto","Castro ","12/22/2020","Otro","Muerte"
"Cisne de Cuello Negro","Adulto","Chonchi","12/22/2020","Trauma ","Muerte"
"Pudú","Adulto Juvenil"," Ancud","12/31/2020","Ataque de perros","Liberación"
"Pingüino de Humboldt","Juvenil","Ancud","12/28/2020","Laceraciones en zona axilar","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","1/2/2021","Trauma","Liberación"
"Pudú","Adulto","Castro","1/5/2021","Atropello","Muerte"
"Delfin Austral","Juvenil","Queilen","1/6/2021","Ingreso muerto","Muerte"
"Tiuque","Adulto","No data","1/7/2021","Trauma",""
"Pudú","Juvenil","Queilen","1/7/2021","Trauma","Muerte"
"Pato Jergon","Adulto","Quellón","1/7/2021","Trauma","Muerte"
"Cachudito","Neonato","Ancud","1/14/2021","Otro","Muerte"
"Bandurria","Juvenil ","U. San Sebastián - Pto Montt","1/15/2021","Orfandad","Muerte"
"Bandurria","Juvenil","U. San Sebastián - Pto Montt","1/15/2021","Orfandad","Muerte"
"Lobo marino","Juvenil","U. San Sebastián - Pto Montt","1/15/2021","Trauma","Liberación"
"Loro Choroy","Adulto","Quellón","1/16/2021","Trauma",""
"Pato jergón grande","Adulto","Ancud","1/19/2021","Trauma","Muerte"
"Bandurria","Adulto","Ancud","1/20/2021","Otro","Muerte"
"Pingüino Magallánico","Juvenil","Ancud","1/21/2021","Trauma","Muerte"
"Bandurria","Juvenil ","Ancud","1/21/2021","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","1/24/2021","Otro","Muerte"
"Pudú","Juvenil","Ancud","1/24/2021","Ataque de perros","Muerte"
"Pudú","Juvenil","Quemchi","1/25/2021"," Atropello","Muerte"
"Lobo marino","Juvenil","Castro","1/29/2021","Trauma","Liberación"
"Loro Choroy","Juvenil","Castro","1/29/2021","Trauma","Muerte"
"Pingüino magallanico","Juvenil","Quellón","2/4/2021","Otro","Muerte"
"Loro Choroy","Juvenil","Quellón","2/11/2021","Otro","Liberación"
"Cisne cuello negro","Neonato","Puqueldon","15/02/0201","Trauma","Muerte"
"Cachaña","Juvenil","Chonchi","2/16/2021","Trauma","Muerte"
"Bandurria","Juvenil","Quellón","2/19/2021","Ingreso muerto","Muerte"
"Queltehue","Adulto","Ancud","2/19/2021","Trauma","Muerte"
"Choroy","Juvenil","Chonchi","2/22/2021","Trauma","Muerte"
"Pingüino de Magallanes","Juvenil","Ancud","2/25/2021","Trauma","Muerte"
"Tiuque","Juvenil","Dalcahue","2/25/2021","Trauma","Muerte"
"Queltehue","Adulto","Dalcahue","2/25/2021","Otro","Muerte"
"Pingüino de Magallanes","Juvenil","Calbuco","2/27/2021","Otro","Muerte"
"Pudú","Adulto","Ancud","2/27/2021","Ataque de perros","Muerte"
"Choroy","Adulto","Castro","3/1/2021","Trauma","Muerte"
"Cachaña","Juvenil","","3/8/2021","Otro","Muerte"
"Choroy","Adulto","Ancud","3/10/2021","Trauma","Muerte"
"Cormoran imperial","Adulto","Ancud","3/11/2021","Otro","Muerte"
"Cernicalo","Juvenil","Ancud","3/17/2021","Otro","Muerte"
"Pudú","Adulto","Quemchi","3/17/2021","Otro","Muerte"
"Picaflor chico","Juvenil","No data","3/18/2021","Trauma","Muerte"
"Tiuque","Juvenil","Dalcahue","3/20/2021","Otro","Muerte"
"Zarapito comun","Adulto","Puente Quilo","3/20/2021","Trauma","Muerte"
"Pudú","Neonato","Ancud","3/20/2021","Trauma","Muerte"
"Pato quetru no volador","Adulto","No data","3/20/2021","Otro","Muerte"
"Aguilucho cola rojiza","Juvenil","Castro","3/23/2021","Trauma","Muerte"
"Cachaña","Adulto","Dalcahue","3/24/2021","Trauma","Muerte"
"Choroy","Adulto","Dalcahue","3/24/2021","Trauma","Exhibición"
"Huairavo","Juvenil","Ancud","3/25/2021","Trauma","Muerte"
"Pudú","Juvenil","Castro","3/26/2021","Otro","Liberación"
"Pudú","Juvenil","Ancud","3/27/2021","Trauma","Muerte"
"Tiuque","Adulto","Ancud","4/1/2021","Trauma","Liberación"
"Tiuque","Juvenil","Dalcahue","4/12/2021","Otro","Muerte"
"Lechuza","Adulto","Chonchi","4/15/2021","Trauma","Muerte"
"Cormoran imperial","Juvenil","Ancud","4/16/2021","Otro","Muerte"
"Fardela negra","Adulto","Ancud","4/4/2021","Otro","Liberación"
"Lechuza","Adulto","Dalcahue","5/1/2021","Trauma","Liberación"
"Pelícano","Adulto","Ancud","5/8/2021","Trauma","Muerte"
"Guiña","Juvenil","Quellón","5/10/2021","Ingreso muerto","Muerte"
"Pudú","Adulto","Queilen","5/11/2021","Atropello","Muerte"
"Diucon","Juvenil","Chonchi","5/13/2021","Trauma","Muerte"
"Pudú","Adulto","Dalcahue","5/18/2021","Ataque de perros","Muerte"
"Pudú","Juvenil","Ancud","5/20/2021","Otro","Muerte"
"Peuquito","Adulto","Ancud","5/30/2021","Otro","Liberación"
"Cisne cuello negro","Adulto","Ancud","6/5/2021","Trauma","Muerte"
"Pudú","Adulto","Dalcahue","6/5/2021","Atropello","Muerte "
"Lobo marino","Juvenil","Quemchi","6/7/2021","Trauma","Muerte"
"Martín pescador","Adulto","Ancud","6/9/2021","Trauma","Muerte"
"Pudú","Adulto","Dalcahue","6/10/2021","Trauma","Muerte"
"Gaviota","Adulto","Dalcahue","6/11/2021","Trauma","Muerte"
"Pudú","Adulto","Castro","6/12/2021","Atropello","Muerte"
"Becacina","Adulto","Ancud","6/13/2021","Trauma","Muerte"
"lobo fino antártico","Adulto","Chonchi","6/14/2021","Otro","Muerte"
"Cormoran Yeco","Adulto","Ancud","6/18/2021","Otro","Muerte"
"Pudú","Adulto","Quemchi","7/1/2021","Ataque de perros","Muerte"
"Cormorán Yeco","Adulto","Castro","7/3/2021","Otro","Muerte"
"Lobo marino comun","Juvenil","Quinchao","7/4/2021","Otro","Liberación "
"Pelícano","Adulto","Ancud","7/5/2021","Trauma","Muerte"
"Pelícano","Adulto","Ancud","7/12/2021","Otro","Muerte"
"Chuncho","Adulto","Ancud","7/14/2021","Atropello","Muerte"
"Lobo marino común","Juvenil","Ancud","7/14/2021","Otro","Liberación"
"Zorro chilote","Adulto ","Quellón","7/15/2021","Ataque de perros","Muerte"
"Pudú","Adulto","Ancud","7/15/2021","Ataque de perros","Muerte"
"Lobo marino común","Juvenil","Ancud","7/18/2021","Otro","Muerte"
"Tiuque","Adulto","Ancud","7/20/2021","Trauma","Liberación "
"Cisne cuello negro","Adulto","-","7/26/2021","Ataque de perros","Muerte"
"Cachaña","Adulto","Rauco","7/28/2021","Trauma","Muerte"
"Lobo marino común","Adulto","Ancud","7/29/2021","Trauma","Liberación"
"Lobo marino común","Juvenil","Quemchi ","7/30/2021","Orfandad","Muerte"
"Pudú","Adulto","Quellón","7/31/2021","Trauma","Muerte"
"Pudú","Adulto","Quemchi","8/2/2021","Ataque de perros","Muerte"
"Gaviota dominicana","Adulto","No data","8/3/2021","Otro","Muerte"
"Monito del monte","Adulto","Castro","8/16/2021","Otro","Muerte"
"Bandurria","Juvenil","Ancud","8/25/2021","Trauma","Muerte"
"Cormorán Guanay","Juvenil","Ancud","8/27/2021","Atropello ","Muerte"
"Piquero","Adulto","Ancud","8/28/2021","Otro","Muerte"
"Cormorán Lile","Juvenil","Ancud","8/30/2021","Otro","Muerte"
"Cormorán Guanay","Juvenil","Ancud","9/6/2021","Otro","Muerte"
"Cachaña","Adulto ","Castro","9/8/2021","Trauma","Muerte"
"Cormorán Lile","Juvenil","Ancud","9/9/2021","Otro","Muerte"
"cachaña","Adulto","Castro","9/11/2021","Trauma","Rehabilitación"
"Lobo marino común","Juvenil","Ancud","9/11/2021","Otro","Liberación"
"Queltehue","Adulto","Quinchao","9/21/2021","Trauma","Muerte"
"Gaviota Cahuil","Adulto","No data","9/29/2021","Trauma","Muerte"
"Gaviota cahuil","Adulto","Quinchao","9/29/2021","Trauma","Muerte"
"Pudú","Juvenil","Ancud","9/29/2021","Otro","Muerte"
"Pudú","Adulto","Dalcahue","9/30/2021","Atropello","Muerte"
"flamenco chileno","aduto","Ancud","10/11/2021","Trauma","Muerte"
"Pudú","Adulto ","Quemchi","10/11/2021","Ataque de perros","Muerte"
"lobo marino comun","Juvenil","Ancud","10/12/2021","Otro","Muerte"
"Lechuza","Adulto","No data","10/12/2021","Atropello","Muerte"
"nuco","Adulto","Castro","10/16/2021","Trauma","Muerte"
"monito de monte","Adulto","castro","10/16/2021","Otro","Liberación"
"concon","Juvenil","Ancud","10/18/2021","Trauma","Muerte"
"pato yeco","Adulto","Ancud","No data","Trauma","Liberación"
"Gaviota dominicana","Juvenil","Dalcahue","10/25/2021","Otro","Muerte"
"cisne de cuello negro","Neonato","Dalcahue","10/25/2021","Orfandad","Muerte"
"queltehue","Adulto","Ancud","10/27/2021","Trauma","Muerte"
"Pudú","Adulto","Ancud","10/28/2021","Ingreso muerto","Muerte"
"Pudú","Juvenil","Quellón","10/31/2021","Atropello","Muerte"
"Tiuque","Juvenil","Ancud","No data","Orfandad","Muerte"
"Chincol","Adulto","Ancud","11/12/2021","Trauma","Muerte"
"Bandurria","Adulto","Dalcahue","11/15/2021","Trauma","Muerte"
"Lechuza blanca","Adulto","Ancud","11/16/2021","Trauma","Muerte"
"Bandurria","Adulto","Dalcahue","11/16/2021","Trauma","Muerte"
"Bandurria","Juvenil","Dalcahue","11/16/2021","Trauma","Muerte"
"Bandurria","Juvenil","Castro","11/19/2021","Orfandad","Muerte"
"Cormorán Lile","Adulto","Castro","11/19/2021","Trauma","Muerte"
"Pingüino magallanico","Juvenil","U. San Sebastián - Pto Montt","11/28/2021","Trauma","Muerte"
"PATO GERGON CHICO","Juvenil","castro","11/25/2021","Trauma","Muerte"
"Gaviota cahuil","Adulto","Chonchi","11/25/2021","Trauma","Muerte"
"Pudú","Juvenil","No data","No data","Atropello ","Muerte"
"Gaviota dominicana","Adulto","quemchi","12/1/2021","Trauma","Muerte"
"chuncho","Adulto","quemchi","12/1/2021","Atropello","Liberación"
"bandurria","Adulto","Ancud","12/3/2021","Ingreso muerto",""
"bandurria","Adulto","Ancud","12/3/2021","Ataque de perros","Muerte"
"cisne de cuello negro","polluelo","No data","No data","No data","Muerte"
"loro choroy","Adulto","Quellón","No data","No data","Muerte"
"bandurria","Juvenil","Quellón","12/9/2021","Orfandad","Muerte"
"No data","No data","No data","No data","No data","No data"
"Pudú","Adulto","castro","12/12/2021","Atropello","Muerte"
"bandurria","Juvenil","Quellón","12/12/2021","Orfandad","Muerte"
"tiuque","Juvenil","Curaco de Vélez","12/12/2021","Otro","Muerte"
"Pudú","Adulto","Ancud","12/17/2021","Ataque de perros","Muerte"
"Pudú","Neonato","Ancud","12/18/2021","Orfandad","Muerte"
"pato real","Neonato","Ancud","12/18/2021","Ataque de perros","Muerte"
"tiuque","Juvenil","Ancud","12/22/2021","Trauma","Muerte"
"Pudú","Adulto","Ancud","12/23/2021","Otro","Muerte"
"Gaviota dominica","Adulto","Ancud","12/26/2021","Otro","Muerte"
"Golondrina chilena","Neonato","Dalcahue","12/29/2021","Orfandad","Muerte"
"Tiuque","Neonato","Quellón","12/29/2021","Orfandad","Muerte"
"Pudú","Adulto","Dalcahue","12/29/2021","","Muerte"
"queltehue","Juvenil","Dalcahue","12/31/2021","No data","Muerte"
"Pudú","Adulto","Ancud","1/2/2022","Ataque de perros","Muerte"
"Pingüino Magallánico","Juvenil","No data","1/2/2022","Otro","Muerte"
"Carpinterito","Adulto","No data","1/2/2022","Otro","Muerte"
"Pudú","Neonato","Chonchi","1/3/2022","Orfandad","Muerte"
"Pudú","Adulto","Castro","1/3/2022","Ingreso muerto ","Muerte"
"Pudú","Neonato","Castro","1/3/2022","Ingreso muerto","Muerte"
"Pudú","Adulto","Ancud","1/4/2022","Ataque de perros","Muerte"
"Bandurria","Adulto","Pto Montt","1/4/2022","Ingreso muerto","Muerte"
"Pudú","Adulto","Ancud","1/5/2022","Atropello","Muerte"
"Monito del monte","Neonato","Dalcahue","1/6/2022","Orfandad","Muerte"
"Diuca","Adulto","Ancud","1/5/2022","Otro","Muerte"
"Loro choroy","Adulto","Castro","1/6/2022","Trauma","Muerte"
"Pingüino Magallánico","Juvenil","Ancud","1/6/2022","Trauma","Liberación"
"Queltehue","Juvenil","Ancud","1/6/2022","Trauma","Muerte"
"Pudú","Neonato","Dalcahue","1/7/2022","Orfandad","Muerte"
"Gaviota dominicana","Neonato","Ancud","1/9/2022","Orfandad","Liberación"
"Fio fio","Adulto","Ancud","1/10/2022","Otro","Muerte"
"Pingüino Magallánico","Juvenil","Chonchi","1/10/2022","Otro","Muerte"
"Pingüino Magallánico","Juvenil"," Ancud","1/11/2022","Otro","Liberación"
"Pingüino Magallánico","Juvenil","Dalcahue","1/11/2022","Otro","Muerte"
"Monito del monte","Neonato","Castro","1/11/2022","Orfandad","Muerte"
"Queltehue","Juvenil","Ancud","1/14/2022","Trauma","Muerte"
"Pudú","Adulto","Ancud","1/16/2022","Ataque de perros","Muerte"
"Pingüino Magallánico","Juvenil","Ancud","1/16/2022","Trauma","Muerte"
"Murciélago rojizo","Juvenil","Chonchi","1/17/2022","Trauma","Muerte"
"Pingüino Magallánico","Juvenil","Ancud","1/17/2022","Otro","Muerte"
"Pingüino Magallánico","Juvenil","Queilen","1/20/2022","Otro","Muerte"
"Pudú","Neonato","Castro","1/24/2022","Atropello","Muerte"
"Tiuque","Adulto","Castro","1/26/2022","Trauma","Muerte"
"Pudú","Neonato","Ancud","1/28/2022","Otro","Muerte"
"Pingüino Magallánico","Juvenil","Ancud","1/29/2022","Trauma","Muerte"
"Gaviota Dominicana","Juvenil","Ancud","1/30/2022","Trauma","Liberación"
"Pudú","Adulto","Ancud","1/31/2022","Ataque de perros","Muerte"
"Pingüino Magallánico","Adulto","Ancud","1/31/2022","Ingreso muerto","Muerte"
"Pudú","Adulto","Ancud","1/31/2022","Atropello","Muerte"
"Zorzal","Juvenil","Ancud","2/1/2022","Trauma","Muerte"
"Gaviota Dominicana","Juvenil","Ancud","2/3/2022","Otro","Liberación"
"Pingüino Magallánico","Juvenil","Chonchi","2/4/2022","Otro","Muerte"
"Pingüino Magallánico","Juvenil","Chonchi","2/5/2022","Otro","Muerte"
"Pudú","Adulto","Castro","2/5/2022","Atropello","Liberación"
"Loro cachaña","Adulto","Castro","2/5/2022","Otro","Muerte"
"Lobo fino austral","Adulto","Quinchao","2/7/2022","Trauma","Muerte"
"Pudú","Adulto","Castro","2/7/2022","Ataque de perros","Muerte"
"Murcielago orejon austral","Adulto","Dalcahue","2/9/2022","Otro","Liberación"
"Blanquillo","Adulto","Ancud","2/11/2022","Otro","Liberación"
"Pato Quetru","Juvenil","Quemchi","2/12/2022","Trauma","Muerte"
"Pingüino Magallánico","Juvenil","Ancud","2/12/2022","Otro","Muerte"
"Pudú","Adulto","Ancud","2/12/2022","Atropello","Liberación"
"Pudú","Neonato","Ancud","2/16/2022","Orfandad","Muerte"
"Pudú","Juvenil","Chonchi","2/17/2022","Ataque de perros","Muerte"
"Traro","Juvenil","Ancud","2/18/2022","Trauma","Liberación"
"Pudú","Adulto","Ancud","2/18/2022","Ataque de perros","Muerte"
"Queltehue","Adulto","Ancud","2/21/2022","Trauma","Muerte"
"Pudú","Adulto","Chonchi","2/25/2022","Atropellado","Muerte"
"Peuquito","Juvenil","Pto Montt","3/2/2022","Trauma","Muerte"
"Cisne de cuello negro","Adulto","Ancud","3/4/2022","Trauma","Muerte"
"Gaviota dominicana","Adulto","Ancud","3/5/2022","Trauma","Muerte"
"Pudú","Adulto","Dalcahue","3/5/2022","Ataque de perros","Muerte"
"Pato jergon chico","Adulto","Ancud","3/6/2022","Otro","Muerte"
"Golondrina","Juvenil","Ancud","3/8/2022","Orfandad","Muerte"
"Torcaza","Adulto","Ancud","3/8/2022","Trauma","Muerte"
"Pingüino Magallánico","Juvenil","Ancud","3/9/2022","Otro","Muerte"
"Pudú","Adulto","Quemchi","3/9/2022","Ataque de perros","Muerte"
"Zarapito comun","Adulto","Ancud","3/10/2022","Trauma","Muerte"
"Gato Guiña","Adulto","Ancud","3/10/2022","Trauma","Liberación"
"Huairavo","Juvenil","No data","3/10/2022","Trauma","Muerte"
"Gaviota Dominicana","Juvenil","Ancud","3/12/2022","Trauma","Muerte"
"Loro Choroy","Adulto","Castro","3/16/2022","Trauma","Muerte"
"Tortuga verde","Juvenil","Chaitén","3/18/2022","Trauma","Remisión"
"Loro Choroy","Adulto","Ancud","3/22/2022","Trauma","Muerte"
"Monito del monte","Juvenil","Ancud","3/23/2022","Otro","Muerte"
"Loro Choroy","Adulto","Dalcahue","3/23/2022","Otro","Muerte"
"Loro Choroy","Adulto","Dalcahue","3/23/2022","Otro","Muerte"
"Pudú","Adulto","Queilen","3/23/2022","Otro","Muerte"
"Chuncho","Adulto","Dalcahue","3/24/2022","Trauma","Muerte"
"Zarapito de pico recto","Adulto","Ancud  ","3/25/2022","Trauma","Muerte"
"Loro choroy","Adulto","Ancud","3/30/2022","Trauma","Liberación "
"Picaflor chico","Adulto","Ancud","3/30/2022","Trauma","Muerte"
"Concon","Juvenil","Curaco de Vélez","3/31/2022","Trauma","Muerte"
"Fio fio","Juvenil","Chonchi","4/1/2022","Trauma","Muerte"
"Loro choroy","Adulto","Castro","4/1/2022","Trauma","Muerte"
"Pudú","Juvenil","Quellón","4/2/2022","Trauma","Muerte"
"Loro choroy","Adulto","Ancud","4/5/2022","Trauma","Liberación"
"Tortuga olivacea","Adulto","Chonchi","4/5/2022","Otro","Muerte"
"Monito del Monte","Juvenil","Castro","4/8/2022","Otro","Muerte"
"Coipo","Adulto","Ancud","4/12/2022","Atropello","Muerte"
"Lagartija de vientre azul","Adulto","Ancud","4/15/2022","Otro","Muerte"
"Pudú","Adulto","Quemchi","4/16/2022","Ataque de perros","Muerte"
"Lobo marino común","Juvenil","Chonchi","4/18/2022","Orfandad","Liberación"
"Fardela Negra","Adulto","Ancud","4/26/2022","Otro","Muerte"
"Pudú","Adulto","Chonchi","4/30/2022","Ataque de perros","Muerte"
"Pudú","Neonato","Ancud","5/2/2022","Orfandad","Liberación"
"Loro choroy","Juvenil","No data","5/5/2022","Trauma","Muerte"
"Lechuza","Adulto","No data","5/5/2022","Ingreso muerto","Muerte"
"Pudú","Neonato ","Chonchi","5/13/2022","Ingreso muerto","Muerte"
"Gaviota Dominicana","Juvenil","Ancud","5/15/2022","Trauma","Muerte"
"Rara","Juvenil","Ancud","5/19/2022","Otro","Muerte"
"Cormoran Lile","Juvenil","Dalcahue","5/19/2022","Ataque de perros","Muerte"
"Pudú","Adulto","Ancud","5/29/2022","Ataque de perros","Muerte"
"Pudú","Adulto","Castro","6/4/2022","Ingreso muerto","Muerte"
"Loro cachaña","Adulto","Quinchao","6/12/2022","Trauma","Muerte"
"Pudú","Adulto","Ancud","6/12/2022","Atropello","Liberación"
"Loro cachaña","Juvenil","Quemchi","6/15/2022","Trauma","Rehabilitación"
"Gaviota Dominicana","Juvenil","Quemchi","6/15/2022","Trauma","Muerte"
"Pudú","Adulto","Castro","6/17/2022","Ataque de perros","Muerte"
"Pudú","Adulto","Quemchi","6/17/2022","Ataque de perros","Muerte"
"Pudú","Adulto","Ancud","6/18/2022","Ataque de perros","Muerte"
"Lobo marino común","Juvenil"," Ancud","6/23/2022","Ataque de perros","Liberación"
"Chuncho","Adulto","Ancud","6/25/2022","Otro","Muerte"
"Queltehue","Neonato","Ancud","6/26/2022","Trauma ","Muerte"
"Loro choroy","Juvenil","Chonchi","6/28/2022","Trauma","Muerte"
"Cisne de cuello negro","Adulto","Ancud","7/4/2022","Trauma","Muerte"
"Piquero","Juvenil","Ancud","7/8/2022","Otro","Muerte"
"Zorzal","Adulto","Ancud","7/8/2022","Trauma","Muerte"
"Pelícano","Juvenil","Ancud","7/11/2022","Ingreso muerto","Muerte"
"Chuncho","Adulto","Ancud","7/15/2022","Otro","Liberación"
"Pelícano","Juvenil","Ancud","7/16/2022","Ingreso muerto","Muerte"
"Pelícano","Juvenil","Ancud ","7/17/2022","Otro","Liberación"
"Loro cachaña","Juvenil"," Castro","7/18/2022","Trauma","Muerte"
"Pudú","Juvenil","Dalcahue","7/18/2022","Ataque de perros ","Liberación"
"Pudú","Juvenil","Ancud","7/21/2022","Ataque de perros","Muerte"
"Lobo marino común","Juvenil","Quellón","7/23/2022","Ataque de perros","Muerte"
"Cormoran","Juvenil","Ancud","7/24/2022","Ataque de perros","Muerte"
"Loro cachaña","Juvenil","Ancud","7/31/2022","Trauma","Muerte"
"Pudú","Juvenil","Dalcahue ","8/3/2022","Ataque de perros","Liberación"
"Loro cachaña","Juvenil","Chonchi","8/4/2022","Trauma","Muerte"
"Foca Leopardo","Juvenil","Ancud","8/6/2022","Trauma","Liberación"
"Pudú","Juvenil","Quellón","8/12/2022","Ataque de perros","Liberación"
"Piquero","Juvenil","Ancud ","8/13/2022","Trauma","Muerte"
"Queltehue","Adulto","Castro","8/19/2022","Otro","Muerte"
"Cormoran","Juvenil","Ancud ","8/20/2022","Otro","Muerte"
"Lobo marino común","Juvenil","Ancud","8/22/2022","Ingreso muerto","Muerte"
"Tiuque","Juvenil","Quellón","8/26/2022","Trauma","Muerte"
"Gaviota Dominicana","Adulto","Castro","8/26/2022","Otro","Muerte"
"Lobo Marino común","Juvenil","Queilen","8/27/2022","Orfandad","Muerte"
"diucón","Adulto","Ancud","8/30/2022","Trauma","Muerte"
"Loro cachaña","Adulto","Ancud","8/30/2022","Ataque de perros","Muerte"
"Fardela Negra","Adulto","Ancud","8/30/2022","Otro","Liberación"
"Coipo","Adulto","Ancud","9/1/2022","Otro","Muerte"
"Lobo marino común","Juvenil"," Quellón","9/2/2022","Otro","Liberación"
"Huairavo","Juvenil","Ancud","9/5/2022","Trauma","Muerte"
"Pudú","Adulto"," Ancud","9/5/2022","Ataque de perros","Liberación"
"Pudú","Adulto","Chonchi  ","9/7/2022"," Ataque de perros","Muerte"
"Pudú","Juvenil","Chonchi ","9/7/2022","Ataque de perros","Muerte"
"Pudú","Adulto","Chonchi","9/10/2022","Ataque de perros","Muerte"
"Lobo marino común","Juvenil","Dalcahue","9/11/2022","Orfandad","Liberación"
"Pudú","Adulto","Ancud","9/12/2022","Atropello","Liberación"
"Pudú","Adulto","Quemchi","9/12/2022","Ataque de perros","Liberación"
"Pudú","Adulto"," Dalcahue","9/13/2022"," Ataque de perros","Muerte"
"Pingüino Magallánico","Juvenil","Queilen","9/17/2022","Trauma","Muerte"
"Monito del Monte","Juvenil","Ancud","9/17/2022","Ataque de perros","Muerte"
"Loro cachaña","Juvenil","Quellón","9/23/2022","Otro","Muerte"
"Bandurria","Juvenil","Castro","9/23/2022","Otro","Muerte"
"Loro cachaña","Juvenil","Castro","9/24/2022","Otro","Muerte"
"Bandurria","Juvenil","Ancud","9/26/2022","Otro","Liberación"
"Pudú","Adulto"," Quemchi","9/28/2022","Ataque de perros ","Muerte"
"Loro choroy","Adulto","Ancud  ","10/4/2022","Otro","Liberación"
"Pudú","Adulto","Ancud","10/6/2022","Atropello","Muerte"
"Monito del Monte","Adulto","Ancud","10/8/2022","Ataque de perros","Muerte"
"Loro choroy","Juvenil","Puqueldon","10/9/2022","Trauma","Muerte"
"Lechuza","Juvenil","Ancud","10/13/2022","Trauma","Muerte"
"Lobo marino común","Juvenil","U. San Sebastián - Pto Montt","10/17/2022","Remisión","Liberación"
"Pudú","Juvenil","Ancud","10/18/2022","Ataque de perros","Muerte"
"Bandurria","Juvenil","Castro","10/19/2022","Orfandad","Liberación"
"Gato Guiña","Adulto","Ancud ","10/23/2022","Remisión","Liberación"
"Gaviota Dominicana","Adulto","Dalcahue","10/25/2022","Atropello","Muerte"
"Lobo marino común","Juvenil","Ancud","10/29/2022","Otro","Muerte"
"Bandurria","Juvenil","Castro","11/2/2022","Orfandad","Muerte"
"Bandurria","Juvenil","Castro","11/2/2022","Otro","Muerte"
"Bandurria","Adulto","Ancud","11/8/2022","Trauma","Liberación"
"Cometocino Patagónico","Neonato","Ancud","11/8/2022","Otro","Muerte"
"Pudú","Adulto","Chonchi","11/11/2022","Atropello","Muerte"
"Lobo marino común","Juvenil","Puqueldon","11/11/2022","Orfandad","Muerte"
"Bandurria","Juvenil","Ancud","11/12/2022","Trauma","Liberación"
"Bandurria","Juvenil","Dalcahue","11/17/2022","Otro","Muerte"
"Pudú","Adulto","Ancud","11/19/2022","Ataque de perros","Muerte"
"Pudú","Neonato"," Ancud","11/20/2022","Otro","Muerte"
"Tiuque","Juvenil","Puqueldon","11/21/2022","Trauma","Muerte"
"Pudú","Juvenil","Ancud","11/24/2022","Otro","Muerte"
"Pudú","Adulto","Castro","11/24/2022","Ataque de perros","Muerte"
"Bandurria","Juvenil","Dalcahue","11/24/2022","Trauma","Muerte"
"Huairavo","Adulto","Dalcahue","11/24/2022","Trauma","Muerte"
"Pudú","Adulto","Ancud","11/26/2022","Ataque de perros","Muerte"
"Pudú","Adulto","Quemchi","11/26/2022","Ataque de perros","Muerte"
"Pudú","Juvenil","Chonchi","11/28/2022","Ataque de perros","Liberación"
"Pudú","Adulto","Dalcahue","11/30/2022","Ataque de perros","Liberación"
"Tiuque","Juvenil","Osorno","12/1/2022","Orfandad ","Muerte"
"Tiuque","Neonato","Osorno","12/1/2022","Orfandad","Muerte"
"Queltehue","Adulto","Pto Montt","12/1/2022","Ataque de perros","Muerte"
"Coipo","Adulto","Ancud","12/2/2022","Remisión","Liberación"
"Coipo","Adulto","Ancud","12/2/2022","Remisión","Liberación"
"Loro choroy","Juvenil","Chonchi","12/3/2022","Trauma","Liberación"
"Pudú","Adulto","Quemchi","12/13/2022","Ataque de perros","Muerte"
"Pudú","Adulto","Quellón","12/13/2022","Atropello","Muerte"
"Gaviota Dominicana","Neonato","Ancud","12/14/2022","Orfandad","Liberación"
"Picaflor chico","Adulto","Ancud","12/15/2022","Trauma","Liberación"
"Tiuque","Neonato","Ancud","12/16/2022","Orfandad","Liberación"
"Bandurria","Juvenil","Castro","12/19/2022","Trauma","Liberación"
"Loro cachaña","Juvenil","Castro","12/19/2022","Trauma","Rehabilitación"
"Pudú","Juvenil","Castro","12/19/2022","Atropello","Muerte"
"Chuncho","Adulto","Ancud","12/20/2022","Atropello","Muerte"
"Zorzal","Juvenil"," Ancud","12/21/2022","Trauma","Muerte"
"Gato guiña","Adulto"," Ancud","12/21/2022","Atropello","Liberación"
"Pudú","Neonato","Castro","12/23/2022","Ataque de perros","Muerte"
